adv_form_lower,SUM,n't,not,never,none,without,few,no
SUM,122,92,18,6,2,2,1,1
too,20,17,2,1,0,0,0,0
as,18,15,2,0,1,0,0,0
very,17,13,2,0,0,1,0,1
so,13,7,1,3,1,0,1,0
that,13,10,2,1,0,0,0,0
particularly,6,3,2,1,0,0,0,0
much,5,5,0,0,0,0,0,0
more,4,3,0,0,0,1,0,0
politically,3,1,2,0,0,0,0,0
any,3,3,0,0,0,0,0,0
still,2,1,1,0,0,0,0,0
real,2,1,1,0,0,0,0,0
quite,2,2,0,0,0,0,0,0
really,1,1,0,0,0,0,0,0
technically,1,1,0,0,0,0,0,0
totally,1,1,0,0,0,0,0,0
always,1,1,0,0,0,0,0,0
racially,1,0,1,0,0,0,0,0
overly,1,1,0,0,0,0,0,0
necessarily,1,1,0,0,0,0,0,0
mentally,1,0,1,0,0,0,0,0
just,1,1,0,0,0,0,0,0
humanly,1,1,0,0,0,0,0,0
fairly,1,1,0,0,0,0,0,0
ever,1,1,0,0,0,0,0,0
completely,1,0,1,0,0,0,0,0
physically,1,1,0,0,0,0,0,0
