key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] necessarily~indicative,1397,0.1724966,8.029781,0.17315319,13007.531,necessarily,indicative,48641,8068,71961373,5.45342,1391.54658,0.9960963,0.028627861,0.028720627,0.1724966,0.10056223,2.5035427,37.230557992,2.4085274,direct
[_direct_] necessarily~cause,52,0.07055766,5.481533,0.07123288,385.15899,necessarily,cause,48641,730,71961373,0.49343041,51.50656959,0.99051094,0.0010596289,0.0010690569,0.07055766,0.035808645,2.0588686,7.142676064,2.0227773,direct
[_direct_] necessarily~representative,491,0.026368167,4.9710827,0.027037445,2682.5079,necessarily,representative,48641,18160,71961373,12.274926,478.725074,0.97500014,0.0098486645,0.010094365,0.026368167,0.018108416,1.6183975,21.604560131,1.6020626,direct
[_direct_] necessarily~predictive,57,0.023064945,3.915035,0.023740109,296.30344,necessarily,predictive,48641,2401,71961373,1.6229129,55.3770871,0.9715278,0.0011392558,0.001171851,0.023064945,0.012102101,1.5599115,7.33487437,1.5455797,direct
[_direct_] necessarily~incompatible,111,0.020376196,4.129887,0.021050636,550.93927,necessarily,incompatible,48641,5273,71961373,3.5641898,107.4358102,0.9678902,0.002210244,0.0022820255,0.020376196,0.01129322,1.5051746,10.197355826,1.4933622,direct
[_direct_] necessarily~synonymous,167,0.020295676,4.296233,0.020969363,827.80687,necessarily,synonymous,48641,7964,71961373,5.383123,161.616877,0.96776575,0.0033248945,0.0034333176,0.020295676,0.011810285,1.5033048,12.506289417,1.4916822,direct
[_direct_] necessarily~reflective,183,0.015680393,3.9652522,0.016353887,818.65122,necessarily,reflective,48641,11190,71961373,7.5636799,175.4363201,0.9586684,0.0036091977,0.0037622582,0.015680393,0.009644795,1.3933167,12.968625952,1.3837179,direct
[_direct_] necessarily~incomplete,122,0.015503919,3.7880764,0.016178226,543.07901,necessarily,incomplete,48641,7541,71961373,5.0972038,116.9027962,0.95821965,0.0024050055,0.002508172,0.015503919,0.008954462,1.3886061,10.583881872,1.3790278,direct
[_direct_] necessarily~wiser,51,0.015002582,3.225285,0.015677836,223.86182,necessarily,wiser,48641,3253,71961373,2.198807,48.801193,0.9568861,0.001003972,0.0010484982,0.015002582,0.008003277,1.3765532,6.833533859,1.365383,direct
[_direct_] necessarily~true,3437,0.014502277,4.3633547,0.0151324365,15076.325,necessarily,true,48641,227128,71961373,153.5231,3283.4769,0.9553322,0.06754997,0.070660554,0.06754997,0.04102612,1.3868643,56.007243583,1.3500057,direct
