hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_02_018.1208_x0277131_25:4-5,yet_unannounced,yet,unannounced,(+)_yet_unannounced,3 . a yet unannounced candidate takes the white house,3 . A yet unannounced candidate takes the White House
pcc_eng_18_080.4433_x1286293_09:14-15,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"station 4 and some other platforms as yet unannounced . ""","That 'll be on the Play Station 4 and some other platforms as yet unannounced . """
pcc_eng_11_001.1363_x0002144_37:12-13,yet_unannounced,yet,unannounced,(+)_yet_unannounced,funds from rich donors for purposes as yet unannounced .,Labour Tomorrow is collecting funds from rich donors for purposes as yet unannounced .
apw_eng_20070115_1140_9:7-8,yet_unannounced,yet,unannounced,(+)_yet_unannounced,ahtisaari 's widely anticipated but as yet unannounced proposal would need u.n. security council,"Ahtisaari 's widely anticipated but as yet unannounced proposal would need U.N. Security Council approval before becoming an internationally accepted solution for the troubled province , which has been an international protectorate since 1999 ."
pcc_eng_25_008.3326_x0118869_082:19-20,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"some kind of nhl realignment , as yet unannounced , probably into an nfl type","And to follow that up , most likely there will be some kind of NHL realignment , as yet unannounced , probably into an NFL type structure that will allow the NHL to expand easily to 40 teams ."
pcc_eng_08_051.1968_x0812582_06:16-17,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"retail , on a redesign -- as yet unannounced -- of the apple stores .","Ahrendts , Apple 's senior vice- president of retail , on a redesign -- as yet unannounced -- of the Apple Stores ."
pcc_eng_09_001.6041_x0009748_05:12-13,yet_unannounced,yet,unannounced,(+)_yet_unannounced,located in the us ) advertising the yet unannounced nokia lumia 928 has popped up,A billboard ( supposedly located in the US ) advertising the yet unannounced Nokia Lumia 928 has popped up .
pcc_eng_11_090.1346_x1442871_9:13-14,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"greenlit , the release date is as yet unannounced .","While Cradle has already been Greenlit , the release date is as yet unannounced ."
pcc_eng_13_051.8392_x0822002_4:8-9,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"the release date is still as of yet unannounced , with the window still being","The release date is still as of yet unannounced , with the window still being Fall of this year ."
apw_eng_19981124_0763_5:17-18,yet_unannounced,yet,unannounced,(+)_yet_unannounced,truth commission at a separate and as yet unannounced hearing .,he is also expected to seek amnesty from the Truth Commission at a separate and as yet unannounced hearing .
pcc_eng_05_101.8297_x1630922_40:6-7,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"google has posted an as yet unannounced glass update with an experimental ""","Google has posted an as yet unannounced Glass update with an experimental "" notification glance "" feature ."
pcc_eng_06_079.0961_x1262869_1:19-20,yet_unannounced,yet,unannounced,(+)_yet_unannounced,of a bmw commercial involving an as yet unannounced prototype bmw .,You may be interested in the following link describing the filming of a BMW commercial involving an as yet unannounced prototype BMW .
pcc_eng_09_024.0016_x0372486_45:10-11,yet_unannounced,yet,unannounced,(+)_yet_unannounced,both sides are to meet at a yet unannounced date before the next round of,Experts from both sides are to meet at a yet unannounced date before the next round of talks in Geneva Nov. 7 - 8 .
pcc_eng_21_002.1883_x0019190_36:6-7,yet_unannounced,yet,unannounced,(+)_yet_unannounced,meaning the actor ( as yet unannounced ) to play jobs in the,Meaning the actor ( as yet unannounced ) to play Jobs in the Sony version will have his work cut out for him if he hopes to really be that much better than Ashton .
pcc_eng_17_072.3332_x1152713_01:10-11,yet_unannounced,yet,unannounced,(+)_yet_unannounced,of the year nominees are ... as yet unannounced .,The album of the year nominees are ... as yet unannounced .
pcc_eng_29_011.4181_x0168504_12:21-22,yet_unannounced,yet,unannounced,(+)_yet_unannounced,will be passed on to another as yet unannounced driver for the pahrump nugget 250,"The race kicks off on August 18 , after which the Star Car will be passed on to another as yet unannounced driver for the Pahrump Nugget 250 at the end of November ."
pcc_eng_16_024.3733_x0378295_11:09-10,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"details of the legalization proposal are as yet unannounced , it is expected the canadian","Although details of the legalization proposal are as yet unannounced , it is expected the Canadian government will be given power to rein in illegal operations and regulate all aspects of the medical and recreational markets ."
pcc_eng_28_032.3889_x0507508_42:12-13,yet_unannounced,yet,unannounced,(+)_yet_unannounced,image 3d and is working on a yet unannounced project .,He recently left Master Image 3D and is working on a yet unannounced project .
pcc_eng_03_049.2273_x0781143_01:21-22,yet_unannounced,yet,unannounced,(+)_yet_unannounced,"december , both with french partners as yet unannounced .","In addition Osipova will dance Nutcracker with POB in January and Tsiskaridze in December , both with French partners as yet unannounced ."
